Nimi,Verkkosivut,Osoite
21st Century Software Ky,Verkkosivuja ei löydy,"Tyrskyvuori 15, 02320 Espoo"
24Apps Oy,http://www.24apps.online,"Esikontie 23, 13500 Hämeenlinna"
27 Crags Oy,http://www.27crags.com,"Kivääritehtaankatu 6 C, 40100 Jyväskylä"
2General Oy,Verkkosivuja ei löydy,Osoitetta ei löydy
3Dee Oy,http://www.3dee.fi,"Niementie 138, 38360 Sastamala"
4-PROs Oy,http://www.4-pros.fi,"Leiritie 46, 32100 Ypäjä"
6SAVE,Verkkosivuja ei löydy,"Kaustisenpolku 5 A 2, 00420 Helsinki"
7scales Oy,Verkkosivuja ei löydy,"Kotiportinkuja 7 B, 02330 Espoo"
A & A Consulting Oy,http://www.aaconsulting.fi,"Eskolanmäentie 7, 15340 Lahti"
A'haaSoft Oy,Verkkosivuja ei löydy,"Rahkolankuja 20 B 16, 39500 Ikaalinen"
A-Mikro Oy,Verkkosivuja ei löydy,Osoitetta ei löydy
A.M.S. Accuracy Management Services Oy,http://www.ams-oulu.com,"Paulaharjuntie 22, 90530 Oulu"
ACD Consulting Ky,http://www.acdconsulting.biz,Osoitetta ei löydy
AHCO Oy,http://www.ahco.fi,"Tierankatu 4, 20520 Turku"
AIT J.K Oy,http://www.artificialintelligence.fi,"Kuusitie 4 B 66, 00270 Helsinki"
AL-Sahara Trade,http://www.saharatrade.eu,Osoitetta ei löydy
AND Solutions Oy,http://www.andsolutions.fi,"Otavalankatu 5, 33100 Tampere"
AP IT-Expression,Verkkosivuja ei löydy,"Pääskyntie 38, 01800 Klaukkala"
AP-Research Oy,http://www.ap-research.com,"Saariniemenkatu 8 D 52, 00530 Helsinki"
APLcomp Oy,Verkkosivuja ei löydy,"Mariankatu 17, 00170 Helsinki"
AR Software,http://www.arsoftware.fi,"Ratatie 16 A 38, 01300 Vantaa"
AT-data Solutions,http://www.at-data.fi,"Aholantie 654, 85820 Oksava"
ATK Lillhonga Oy,http://www.lillhonga.fi,"Torikatu 16, 67100 Kokkola"
ATK-palvelu Pajala Jukka Tmi,http://www.it-pajala.com,"Kohmankaari 1 N 52, 33310 Tampere"
ATK-tehdas Oy,Verkkosivuja ei löydy,"Santavuorentie 3 A 7, 00400 Helsinki"
Aaaaec Services Oy,http://aaaaec.fi,"Ratamotie 4, 12600 Läyliäinen"
Aalto Veneily,http://www.aaltoveneily.fi,"Vattuniemenkatu 15 b, 00210 Helsinki"
Aames Oy / Data Group,http://www.aames.fi,"Bulevardi 17, 00120 Helsinki"
Aastat Oy,http://www.aastat.fi,"Kurjenmäenkatu 10 B 55, 20700 Turku"
Aatwart Oy,Verkkosivuja ei löydy,Osoitetta ei löydy
Aava Mobile Oy,http://www.aavamobile.com,"Nahkatehtaankatu 2, 90130 Oulu"
Aava Ohjelmistot Oy,http://www.aavaohjelmistot.fi,"Metsänneidonkuja 10, 02130 Espoo"
Aavamäki Consulting Oy,Verkkosivuja ei löydy,"Lyhdetie 11, 83100 Liperi"
Abako Oy,http://www.abako.fi,Osoitetta ei löydy
Abiton Ky,Verkkosivuja ei löydy,"Puskaperäntie 183, 85940 Räisälänmäki"
Aboa Ohjelmistot Mika Kokko Ky,http://www.aboa-ohjelmistot.com,"Käräjätuomarinkatu 18 E 19, 20780 Kaarina"
Abonnet Oy,Verkkosivuja ei löydy,"Kiiskitie 5 C 42, 02170 Espoo"
AccelBit Oy,http://www.accelbit.com,"Rantakatu 3, 90100 Oulu"
Accomation Oy,http://www.accomation.com,"Uusi Porvoontie 696, 01120 Västerskog"
Acer Finland Oy,http://www.acer.com/ac/fi/FI/content/home,"Teknobulevardi 7 H, 01530 Vantaa"
Acsi-Solutions Oy,http://www.acsi-solutions.com,Osoitetta ei löydy
ActiveSoft Oy,http://www.activesoft.fi,"Liljantie 14, 76850 Naarajärvi"
Ad Latus Ab,Verkkosivuja ei löydy,"Vexalavägen 298, 66950 Munsala"
AdLight Oy,http://www.adlight.fi,Osoitetta ei löydy
Ada-bau Oy,Verkkosivuja ei löydy,"Lehtikummuntie 17, 01690 Vantaa"
Adalia Oy,http://www.adalia.fi,"Visiokatu 6, 33720 Tampere"
Add-In Oy,Verkkosivuja ei löydy,"Suvannontie 2b, 00510 Helsinki"
Adeno Oy,http://www.adeno.fi,"Talvitie 11, 13500 Hämeenlinna"
Adensy Oy,http://www.adensy.com,"Melkonkatu 26, 00210 Helsinki"
Adeona Oy,http://www.canter.fi,"Metsänneidonkuja 4, 02130 Espoo"
Adica Consulting Oy,Verkkosivuja ei löydy,"Kaukovainionkatu 68, 90140 Oulu"
Adminize,http://www.adminize.fi,"Sienitie 12, 02580 Siuntio"
Adp-Base Systems Oy,Verkkosivuja ei löydy,"Mariantie 13 B, 02700 Kauniainen"
Adsotech Finland Oy,http://www.adsotech.com,"Keilaranta 1, 02150 Espoo"
Adsotech Scandinavia Oy,http://www.adsotech.com,"Keilaranta 1, 02150 Espoo"
Advanced Network Technology Tampere Incorporation Oy,http://www.adnet.fi,"Verstaankatu 1, 33100 Tampere"
Advania Fokus Oy,http://www.netsecure.fi,"Mukkulankatu 19, 15210 Lahti"
Advocorp Oy,http://www.advocorp.fi,"Mannerheimintie 42 A 3, 00260 Helsinki"
AgeIn Oy,Verkkosivuja ei löydy,"Sääskikuja 2 A 8, 00730 Helsinki"
Agentum Technologies Oy Inc .,http://www.agentum.com,"Kauppiaskatu 5 A, 20100 Turku"
Agrisystems Oy,Verkkosivuja ei löydy,"Hiidenkiukaantie 1 D 33, 00340 Helsinki"
AgroSoft Oy,http://www.agrosoft.eu/fi,"Vuohiojantie 56, 23140 Hietamäki"
Ahaa Vision Oy,http://www.ahaavision.com,"Raitatie 5 A 2, 13210 Hämeenlinna"
Ahjo Solutions Oy,Verkkosivuja ei löydy,Osoitetta ei löydy
Ahonet Oy,Verkkosivuja ei löydy,Osoitetta ei löydy
Aidc Finland Oy,http://www.aidc.fi,"Malminkaari 17-19 A, 00700 Helsinki"
Ainea Oy,http://www.ainea.fi,
Ainia Innovations Oy,http://www.ainia.fi,"Tallberginkatu 2 A, 00180 Helsinki"
Ainia Solutions Oy,http://www.ainia.fi,"Tallberginkatu 2 A, 00180 Helsinki"
Air Dice Games,http://www.airdice.com,"Hämeentie 19, 00500 Helsinki"
Airbus Defence and Space Oy,http://www.securelandcommunications.com,"Hiomotie 32, 00380 Helsinki"
Airo Finland Oy,http://www.airo.fi,"Airoranta 7 A, 00830 Helsinki"
Aitio Finland Oy,http://www.aitiofinland.com,"Lutakonaukio 7, 40100 Jyväskylä"
Aivomatic Oy,http://www.aivomatic.com,"Rusokastie 5, 24280 Salo"
Aivoriihi Oy Konsulttitoimisto,Verkkosivuja ei löydy,"Laaksonpohjantie 13 A, 02730 Espoo"
Aivosto Oy,http://www.aivosto.com,"Kylänvanhimmantie 16, 00640 Helsinki"
Aj-Group,http://aj-group.net,Osoitetta ei löydy
Ajas Oy,http://www.ajas.fi,"Kousankatu 1, 20610 Turku"
Ajodata Oy,Verkkosivuja ei löydy,"Päivänkajontie 8 E, 02210 Espoo"
Akasystems Oy,Verkkosivuja ei löydy,"Heinämäentie 6, 40250 Jyväskylä"
Alderette Ab Oy,http://www.somecode.fi,"Maununtie 69, 07190 Halkia"
Alekstra Oy,http://www.alekstra.com,"Kumitehtaankatu 5, 04260 Kerava"
Aletheia Oy,Verkkosivuja ei löydy,"Vilkkupoiju 13 B 5, 02320 Espoo"
Alexsoft Oy,http://www.alexsoft.fi,Osoitetta ei löydy
Alfame Systems Oy,http://www.alfame.com,"Vaasantie 6, 67100 Kokkola"
Algotronics Ab,Verkkosivuja ei löydy,"Pålarvvägen 37 A, 10570 Bromarv"
Aline Consulting Oy,http://www.aline-consulting.com,"Valimotie 13 A, 00380 Helsinki"
Alkalde Oy,http://www.alkalde.fi,"Ruutintie 26, 04330 Lahela"
Alkilan Oy,Verkkosivuja ei löydy,"Kutomotie 12a, 00380 Helsinki"
All in All IT-Solutions Oy,http://www.carrotnet.net,"Sorakatu 5, 65100 Vasa"
Allteq Solutions Oy,http://www.allteq.fi,"Joensuunkatu 7, 24100 Salo"
Almitas Solutions Oy,Verkkosivuja ei löydy,"Ruukinkatu 2-4, 20540 Turku"
Also Cloud Oy,http://www.alsocloud.eu,"Kalevantie 2 D 6, 33100 Tampere"
Alter Data Oy,http://www.alterdata.fi,"Kesätie 9 B, 01690 Vantaa"
Alternative Games Oy,http://www.alternativegames.net,Osoitetta ei löydy
Altom Consulting Oy,http://altom.com,Osoitetta ei löydy
Amaye Concept,http://www.amayeconcept.fi,"Ahopellontie 31, 41930 Kuohu"
Amazing Badger Oy,Verkkosivuja ei löydy,Osoitetta ei löydy
Ambientia Oy Hämeenlinnan toimisto,http://www.ambientia.net,"Vanajantie 10b, 13110 Hämeenlinna"
Ambit Oy,http://www.ambit.fi,"Kiilakiventie 1, 90250 Oulu"
Ambitone Oy,Verkkosivuja ei löydy,"Koivusyrjä 3a, 02130 Espoo"
Amdocs (Finland) Oy,http://www.amdocs.com,Osoitetta ei löydy
Amer Sports Digital Services Oy,Verkkosivuja ei löydy,"Tammiston kauppatie 7 B 7 B, 01510 Vantaa"
Amli Oy Ab,http://www.amli.fi,"Fredrikinkatu 33 A, 00120 Helsinki"
Anadium Group Oy,http://www.anadium.com,Osoitetta ei löydy
Analog Way Finland Oy,http://www.picturall.com,"Jylhäntie 47, 69600 Kaustinen"
Anemic Software,http://www.flowpos.fi,Osoitetta ei löydy
Animated Oak Entertainment Oy,http://www.systemus.fi,"Piispanristintie 2 C, 20760 Piispanristi"
Anneli Tanttu LKV,http://annelitanttulkv.wordpress.com,"Seppälän puistotie 7, 35800 Mänttä"
AnniTech Oy,http://www.annitech.fi,"Pyhäjärvenkatu 5 B 406, 33200 Tampere"
Ansala Consulting,Verkkosivuja ei löydy,"Einolantie 9, 01900 Nurmijärvi"
Anssi Ikonen,http://www.anssikone.fi,"Kotamutka 3, 41800 Korpilahti"
Antiikkikirja Strang Jan,http://www.strang.fi,"Jatasalmentie 1, 00830 Helsinki"
Antti Granqvist,Verkkosivuja ei löydy,"Rajakulmantie 45, 04170 Paippinen"
Anttix Tmi,Verkkosivuja ei löydy,"Turulanmäentie 27, 71480 Kurkimäki"
Anygraaf Oy,http://www.anygraaf.fi,"Hiomotie 10, 00380 Helsinki"
Apfel System Oy,Verkkosivuja ei löydy,"Malminkatu 22 A 2 c/o Tikkanen, 00100 Helsinki"
"Apple Aktiebolag, filial i Finland",http://www.apple.com/fi,"Fabianinkatu 31 C, 00100 Helsinki"
Apprix Oy,http://www.apprix.fi,"Yrjönkatu 21 C, 00100 Helsinki"
Aprikoodi Oy,http://www.samasumu.fi,"Kuujaantie 34, 36270 Kangasala"
Apro-Media Oy,Verkkosivuja ei löydy,"Taimenkuja 12, 01490 Vantaa"
Apsis Finland Oy,http://www.apsisfinland.fi,"Kampinkuja 2, 00100 Helsinki"
Apubitti,http://www.apubitti.fi,"Kustaantie 2, 23100 Mynämäki"
Araneus Information Systems Oy,http://www.araneus.fi,Osoitetta ei löydy
Araqua Oy,http://www.araqua.fi,Osoitetta ei löydy
ArchiusComus,Verkkosivuja ei löydy,"Hämeentie 94 B 36, 00550 Helsinki"
Arctic Coders Oy,http://www.arcticcoders.fi,"Karpalotie 18, 90820 Kello"
Arctic Connect Oy,http://www.arctic-connect.com,"Aittatie 1, 96320 Rovaniemi"
Ardani Consulting Oy,http://www.ardani.fi,"Mallaskatu 3 A 37, 15140 Lahti"
Ardot Oy,http://www.ardot.fi,"Nervanderinkatu 7 A 7, 00100 Helsinki"
Aredo,Verkkosivuja ei löydy,"Asevelikuja 7, 32700 Huittinen"
Aremtec Oy,Verkkosivuja ei löydy,"Olkiniitty 6, 02620 Espoo"
Arena Interactive Oy,http://www.arenainteractive.fi,"Kauppakatu 18 B 18, 40100 Jyväskylä"
Arenosone,Verkkosivuja ei löydy,"Nahkatehtaantie 10, 37830 Akaa"
Arenox Oy,Verkkosivuja ei löydy,"Vihdintie 3, 03100 Nummela"
Arietis Oy,Verkkosivuja ei löydy,"Metsätähdentie 10, 37550 Lempäälä"
Arilyn Oy,http://www.arilyn.fi,"Iso Roobertinkatu 3-5, 00120 Helsinki"
Aritzon Oy Ltd,http://www.planetlovestrees.com,Osoitetta ei löydy
Arkhim Oy,http://www.arkhim.fi,"Laukaantie 4, 40320 Jyväskylä"
Arksoft Oy,http://www.arksoft.fi,"Mikonkatu 22 E 56, 00100 Helsinki"
Arline Oy,Verkkosivuja ei löydy,"Kymintie 31, 00560 Helsinki"
Arrak Software Oy Ab,http://www.arrak.fi,"Tillisbacksvägen 1 C, 02330 Esbo"
Arsplan Oy,http://www.arsplan.fi,"Nirvankuusenkuja 3 D, 33820 Tampere"
Artem Services,Verkkosivuja ei löydy,Osoitetta ei löydy
Arto Jäppinen Ky,Verkkosivuja ei löydy,"Kokkokallionkatu 5 D 67, 15170 Lahti"
Artsicon Ky,http://www.artsicon.com,"Kostintie 3 D 18, 66400 Laihia"
Arutec,http://www.arutec.fi,"Artturi Kanniston tie 8 D 38, 00320 Helsinki"
Asio-Data Oy,http://www.asio.fi,"Kyyluodontie 5 A, 00200 Helsinki"
Asio-Soft Oy,http://www.asio.fi,"Kyyluodontie 5 A, 00200 Helsinki"
AskMyCal Ab,Verkkosivuja ei löydy,"Blomstringevägen 12, 22150 Jomala"
Asp Partners Oy,http://www.whitelabel.fi,"Järvenpääntie 110, 07170 Pornainen"
Aspectia Oy,Verkkosivuja ei löydy,"Sammalsuontie 3, 21350 Ilmarinen"
Aspectus Oy,http://www.aspectus.fi,Osoitetta ei löydy
Asset Vision Oy,http://www.assetvision.fi,"Kypäräkatu 2-4 B 9, 53850 Lappeenranta"
